owner,market,net_usdc
0x17616b962372b7f0fddf5b1789c4290111bb3d8c,compound_v2,885.4725055551121
0x2f22c74f45a6200a4bf1fd0694ebba831b18ad70,compound_v2,877.133921618292
0xfda28268f8d78147066621efa2839ae2df791bfd,compound_v2,3517.9897874040485
0x0c8d7df823906a819d087faca2e9d60ebb101d66,compound_v2,109.46387207082002
0x3508c1e2283073e2cf6ef583e8569780e5c7bae1,compound_v2,215980.78046990128
0x3b2ae623ae27823a8a5d543feec4da04efd34486,compound_v2,523.14793061052
0x403421b425459ab85492152de7a0b9607920d277,compound_v2,388.235773863168
0x3d5aeff2ef3e0cea80f43340215d6bdfc8b336a7,aave_v2,-21456.781778
0x4d03aea34ffefd6af6cc154b3f03501ae083fb92,aave_v2,-1000.710632
0xec84864622001c5eed1d40516c925e35767e3e13,aave_v2,-20379.691571
0x1bdb26fcb8ef6222f1f2dc91a619fe8764f99cc0,aave_v2,-2905.333021
0xf9018895d2a28b7073b6da628533b06a1f1b89ad,aave_v2,-15088.646053
0x36fdb65d2d484b036ade6a2a418b05da0c848f1b,aave_v2,-53149.826849
0x88d119fe72d82592647106e29322aad0de23bc78,aave_v2,-21132.258354
0x83193738e5432ae814a1d551d2da623ce9b500c6,aave_v2,-35112.040144
0x1e5a3f6d3d9a510a07a4df85b789812996075ffa,aave_v2,-46177.229855
0xe1c70e0e9233b730228e17ae68a2d5281db4740e,aave_v2,-53696.224853
0x290f4ef0d89a7e7a9c6a642392c7280fada4119c,aave_v2,-150.000116
0xb7c13954c1ebc746b60f5b81ca27359005edd9ca,aave_v2,-51045.245351
0x10df56bed7a11a6fe41b888750991af96e5a829e,aave_v2,-66024.272724
0xdd073675d890cfe60fbc3d47a4f789061752720f,aave_v2,-17936.42339
0x95252af531ee435cb67231115ca8dcae10fc166d,aave_v2,-454555.947397
0x20fc393e7652c7f15cd791fff1713685195e02a9,aave_v2,-8534.787157
0x375ab43441133c4438beaab18f8d32a05aeab742,aave_v2,-483.893835
0xd883e86850fd8ada941d3dc6d8668dff97f127fb,aave_v2,-18494.143005
0x846d0cb616f9c159b4c16b1f49d4757a41d85008,compound_v2,0.0
0x8f70fd979e8707f59cb88eecc600b2f3a01e78b5,compound_v2,0.0
0xce65abcc7fb9a749b20ed669362be4c72f06ebc7,compound_v2,0.200706607692
0x7a0fbb294741a4d08ebc09e8937c44b87c4c0b85,compound_v2,5.9508e-08
0xac4fd02c99acb23f6eee2ac502e12bd84ac500b9,compound_v2,0.0
0x34582f58e7095ef7dd55fe87ddd4bd2b581802ee,compound_v2,0.0
0x76dfe68c3f3b5ff0e3636ffc18b84b5653450569,compound_v2,0.0
0xa50b1c39cba1680b0f3d84a2dc7b2ad324df3f39,compound_v2,0.0
0x14ffae1d2804eaf261586a6378218eb5e7235066,compound_v2,0.0
0xbdb20a53f5810a5a47569baaefe890764dd7fcf9,compound_v2,0.0
0x14f12e80add26c2824f5c84487886b43e9fd7075,compound_v2,0.0
0xff5e75f742f22ed4b622dfcf1115c25e7bb4a1a3,compound_v2,85.525493292864
0x3f28f64064eb5c901064f969310f1e8324283f26,compound_v2,0.002501886408
0xbe8c65e58347388325ed228018ef53198b7e2c62,compound_v2,0.0
0xf97f22e4cfcf9a65ec51c4addeba41b252e1d5f3,aave_v3,-17787.268563
0x628226feb951d859b66b7a9bf13f0d2319df3969,compound_v2,118.032707817036
0x1247cd87961c0b5dc02a3852d3886ec9e53f7670,compound_v2,272.819168486868
0x38918f23617a2419fa674d294603041d098eeeb6,compound_v2,35654.336395904975
0x43881869789dff40481de29f307fd5b21b238b7b,compound_v2,447.975313513464
