owner,proto,tenure_days
0x8d753de567c6b5cc72f1f6a5123b404358bba3bb,aave_v2,82
0x6e211e7bb8d9f5789e446de161a75f012a1e36bb,aave_v2,674
0x2fb733c3239a1e807d380fa0845b9101ee54c693,aave_v2,744
0xc63d018aac5a36162d5637d535038e08cf3815de,aave_v2,728
0xc9396ad1d600d4fec12095889b2edea3a05dd9f3,aave_v2,728
0x962f2ac80f6891848ce60c3f73ac274717ad99e9,aave_v2,728
0x39d050c98dba7df8236d6860cddac8b6a6ff4a2b,aave_v2,726
0x6214d37fc9bc750f5b17f3cb06afd7a7ee7e9798,aave_v2,726
0x2465991130a53b3e9a21cb100211365249432d41,aave_v2,726
0x3938a7d74f692a8a662fb17d6081e3a494de22e6,aave_v2,118
0x6c417185035c15c07058c916ca1a81122acaea89,aave_v2,713
0x30d96d6ea5f5d8cbb46a20cc788deba29e8677b0,aave_v2,781
0x34dbdccb8b20ea81dc2975d3bfa39ea292cd8137,aave_v2,631
0x80bb0d87dce1a94329586ce9c7d39692bbf44af6,aave_v2,655
0xa8fcecc7c8a16c3936f85e0b7fcac99ee51b4ff8,aave_v2,766
0x6c726071361669676bb56a4c0f3fe189192526b1,aave_v2,637
0xab01d16135273afa6729bd6f9fa8b061f8fa2674,aave_v2,622
0x1426fbd146942e153653863cbe633780c17268da,aave_v2,315
0x2cf3448b226f2599ee7d5f10c35791014e63aa90,aave_v2,119
0xab227893feca671ff802aa8e2ded4b06784230ea,aave_v2,641
0x17258ffbd53de354486f36b2b9316e427601b67e,aave_v2,791
0x74ef975b3128d631b778da3785df861b0578803d,aave_v2,185
0x2ecfce6fc3dfddcef29520cc3678ba866e22d2b2,aave_v2,371
0x10b94f88d8ad9d6b62542a9ff243d441e5bc26e4,aave_v2,364
0x55b58aa53946dd8dae0b6dbabbef9d3e1f09c627,aave_v2,644
0x60d231e8da6673b20b2aee67bdf2d8251784625b,aave_v2,638
0x54d51d2ba012d106cf913180b2332d16ca2287b0,aave_v2,637
0x6d954b2de4b95050b2e11a0b942304fb96dc9000,aave_v2,623
0xac3ca12d6a07ea7252515c72b895be1718b8df02,aave_v2,522
0x6040a3aee014d808ddf4fb6a4d88816012cad0b1,aave_v2,540
0xf35bd6aaafbb27c9d2f154298e188b7218422a5f,aave_v2,516
0x1d12bbebd84a011b2fca119f4eaea766e65837ee,aave_v2,503
0xc41cf3e73a181260e6ff4db42b7f8e9b93dfd442,aave_v2,501
0x4a905ce2d555752f0d906ffdf628b26ad64a741a,aave_v2,496
