hour,n_withdraws,n_wd_wallets,outflow_usdc
2023-03-08 22:00:00.000 UTC,1,1,6256.918464
2023-03-08 23:00:00.000 UTC,6,5,1469265.8900160003
2023-03-09 00:00:00.000 UTC,2,1,200086.980124
2023-03-09 01:00:00.000 UTC,3,2,2936944.25513
2023-03-09 02:00:00.000 UTC,3,2,3054364.907178
2023-03-09 03:00:00.000 UTC,3,2,7496.547898
2023-03-09 04:00:00.000 UTC,2,2,259975
2023-03-09 05:00:00.000 UTC,2,2,52553.862495
2023-03-09 06:00:00.000 UTC,4,3,15102.890221999998
2023-03-09 07:00:00.000 UTC,3,3,5131817.820777
2023-03-09 08:00:00.000 UTC,2,2,2007686.476557
2023-03-09 09:00:00.000 UTC,2,2,204000
2023-03-09 10:00:00.000 UTC,1,1,17546.934887
2023-03-09 11:00:00.000 UTC,3,2,589243.464653
2023-03-09 12:00:00.000 UTC,4,4,263458.354363
2023-03-09 13:00:00.000 UTC,5,3,89899.997258
2023-03-09 15:00:00.000 UTC,3,3,12811827.921726
2023-03-09 18:00:00.000 UTC,3,2,1327922.8935150001
2023-03-09 19:00:00.000 UTC,5,4,3187317.409534
2023-03-09 20:00:00.000 UTC,13,5,2917259.159223
2023-03-09 21:00:00.000 UTC,7,6,380944.560036
2023-03-09 22:00:00.000 UTC,7,6,477376.191397
2023-03-09 23:00:00.000 UTC,7,5,6219493.6695220005
2023-03-10 00:00:00.000 UTC,5,2,257824.802837
2023-03-10 01:00:00.000 UTC,5,5,1392352.591424
2023-03-10 02:00:00.000 UTC,4,4,3621312.53027
2023-03-10 03:00:00.000 UTC,6,5,93276805.257853
2023-03-10 04:00:00.000 UTC,6,5,487076.35257299995
2023-03-10 05:00:00.000 UTC,3,3,100163.108391
2023-03-10 06:00:00.000 UTC,2,2,166372.889819
2023-03-10 07:00:00.000 UTC,7,5,24419079.796939004
2023-03-10 08:00:00.000 UTC,4,4,260423.327839
2023-03-10 09:00:00.000 UTC,4,3,643904.341491
2023-03-10 10:00:00.000 UTC,6,5,3391337.61411
2023-03-10 11:00:00.000 UTC,4,4,161754.504644
2023-03-10 12:00:00.000 UTC,11,8,3347145.94552
2023-03-10 13:00:00.000 UTC,6,4,5894744.9651190005
2023-03-10 14:00:00.000 UTC,4,3,3314878.9757930003
2023-03-10 15:00:00.000 UTC,3,2,353616.323111
2023-03-10 16:00:00.000 UTC,6,5,1480761.685534
2023-03-10 17:00:00.000 UTC,5,5,2573004.9206069997
2023-03-10 18:00:00.000 UTC,10,8,25248214.435383998
2023-03-10 19:00:00.000 UTC,24,13,14257136.43755
2023-03-10 20:00:00.000 UTC,22,20,15447513.139770001
2023-03-10 21:00:00.000 UTC,18,12,25639217.923573002
2023-03-10 22:00:00.000 UTC,22,14,10176099.341312
2023-03-10 23:00:00.000 UTC,30,19,19169384.555538002
2023-03-11 00:00:00.000 UTC,60,34,22556306.734382
2023-03-11 01:00:00.000 UTC,50,33,21603577.046211
2023-03-11 02:00:00.000 UTC,58,26,30134082.520314
2023-03-11 03:00:00.000 UTC,68,30,22165292.203656003
2023-03-11 04:00:00.000 UTC,47,23,99024613.272878
2023-03-11 05:00:00.000 UTC,34,22,92463513.40932499
2023-03-11 06:00:00.000 UTC,37,31,49023982.587596
2023-03-11 07:00:00.000 UTC,26,18,12990501.202223001
2023-03-11 08:00:00.000 UTC,44,23,47136531.801052
2023-03-11 09:00:00.000 UTC,31,17,10132751.648368001
2023-03-11 10:00:00.000 UTC,40,18,16368297.506031003
2023-03-11 11:00:00.000 UTC,36,17,31190207.70759101
2023-03-11 12:00:00.000 UTC,24,11,12810776.848572
2023-03-11 13:00:00.000 UTC,27,11,3502065.1447500004
2023-03-11 14:00:00.000 UTC,26,17,12314564.971039
2023-03-11 15:00:00.000 UTC,15,10,7645549.743563999
2023-03-11 16:00:00.000 UTC,12,8,9159621.824935
2023-03-11 17:00:00.000 UTC,12,3,664108.109217
2023-03-11 18:00:00.000 UTC,27,17,20778557.357499998
2023-03-11 19:00:00.000 UTC,16,10,9748217.329747
2023-03-11 20:00:00.000 UTC,42,14,40038645.384282
2023-03-11 21:00:00.000 UTC,32,12,18022616.034613
2023-03-11 22:00:00.000 UTC,20,10,1326128.239459
2023-03-11 23:00:00.000 UTC,19,10,20003255.543612998
2023-03-12 00:00:00.000 UTC,13,8,33748876.021758
2023-03-12 01:00:00.000 UTC,22,11,3451409.209391
2023-03-12 02:00:00.000 UTC,6,4,2255552.9281989997
2023-03-12 03:00:00.000 UTC,30,12,48105759.780954
2023-03-12 04:00:00.000 UTC,6,6,587698.255608
2023-03-12 05:00:00.000 UTC,9,4,242586.16703399998
2023-03-12 06:00:00.000 UTC,11,7,2227712.382271
2023-03-12 07:00:00.000 UTC,14,11,8097548.270866001
2023-03-12 08:00:00.000 UTC,11,7,251326.615706
2023-03-12 09:00:00.000 UTC,9,7,10860629.686259
2023-03-12 10:00:00.000 UTC,9,5,335833.86099899997
2023-03-12 11:00:00.000 UTC,5,3,132877.533519
2023-03-12 12:00:00.000 UTC,5,5,2095253.541219
2023-03-12 13:00:00.000 UTC,8,5,191412.031904
2023-03-12 14:00:00.000 UTC,6,5,5364837.8045109995
2023-03-12 15:00:00.000 UTC,14,7,13440013.225490998
2023-03-12 16:00:00.000 UTC,5,5,3090452.90778
2023-03-12 17:00:00.000 UTC,9,6,272282.943951
2023-03-12 18:00:00.000 UTC,16,6,735348.3672870001
2023-03-12 19:00:00.000 UTC,19,10,6117105.498809
2023-03-12 20:00:00.000 UTC,10,5,489498.856994
2023-03-12 21:00:00.000 UTC,15,9,1242992.5405030001
2023-03-12 22:00:00.000 UTC,41,15,18662813.618139
2023-03-12 23:00:00.000 UTC,43,23,41303504.169300996
2023-03-13 00:00:00.000 UTC,31,19,26828875.11721
2023-03-13 01:00:00.000 UTC,11,8,7881406.811097
2023-03-13 02:00:00.000 UTC,6,5,244258.48325599998
2023-03-13 03:00:00.000 UTC,5,3,763834.268772
2023-03-13 04:00:00.000 UTC,9,4,45032878.747904
2023-03-13 05:00:00.000 UTC,8,8,2661512.510999
2023-03-13 06:00:00.000 UTC,12,10,6238319.655542
2023-03-13 07:00:00.000 UTC,8,7,2983117.5970540005
2023-03-13 08:00:00.000 UTC,8,6,5539900.202676001
2023-03-13 09:00:00.000 UTC,13,9,44727831.364079
2023-03-13 10:00:00.000 UTC,6,6,558366.248987
2023-03-13 11:00:00.000 UTC,27,12,15230531.264758999
2023-03-13 12:00:00.000 UTC,15,9,2250546.352623
2023-03-13 13:00:00.000 UTC,16,10,9923886.766872
2023-03-13 14:00:00.000 UTC,19,10,7318436.434402001
2023-03-13 15:00:00.000 UTC,24,11,17026327.087839
2023-03-13 16:00:00.000 UTC,7,5,6457906.346666
2023-03-13 17:00:00.000 UTC,28,13,16558574.921573998
2023-03-13 18:00:00.000 UTC,10,8,9223518.966866
2023-03-13 19:00:00.000 UTC,8,6,2718106.9658890003
2023-03-13 20:00:00.000 UTC,10,6,10973392.809435003
2023-03-13 21:00:00.000 UTC,7,7,3677178.093746
2023-03-13 22:00:00.000 UTC,10,6,18454959.561198
2023-03-13 23:00:00.000 UTC,8,7,1931965.344505
2023-03-14 00:00:00.000 UTC,8,6,1293829.279581
2023-03-14 01:00:00.000 UTC,6,4,25588116.837544
2023-03-14 02:00:00.000 UTC,6,5,886453.095398
2023-03-14 03:00:00.000 UTC,9,7,246651.28753200002
2023-03-14 04:00:00.000 UTC,9,7,2337986.0845459998
2023-03-14 05:00:00.000 UTC,11,7,2287639.75793
2023-03-14 06:00:00.000 UTC,5,4,8156570.289121
2023-03-14 07:00:00.000 UTC,6,6,6532683.782984
2023-03-14 08:00:00.000 UTC,5,5,2704630.147551
2023-03-14 09:00:00.000 UTC,6,5,10073143.624168
2023-03-14 10:00:00.000 UTC,3,3,8106044.87877
2023-03-14 11:00:00.000 UTC,10,7,4785175.771521
2023-03-14 12:00:00.000 UTC,13,6,1395033.764443
2023-03-14 13:00:00.000 UTC,11,8,4972321.296259
2023-03-14 14:00:00.000 UTC,10,6,6006257.44344
2023-03-14 15:00:00.000 UTC,12,9,88174582.466112
2023-03-14 16:00:00.000 UTC,10,7,7224953.278619
2023-03-14 17:00:00.000 UTC,10,7,6852494.863364001
2023-03-14 18:00:00.000 UTC,8,7,13604747.708926
2023-03-14 19:00:00.000 UTC,5,5,9878638.957006
2023-03-14 20:00:00.000 UTC,13,2,1244379.30514
2023-03-14 21:00:00.000 UTC,14,4,131586.92958599998
2023-03-14 22:00:00.000 UTC,13,9,6314240.927392
2023-03-14 23:00:00.000 UTC,9,6,3480701.265058
2023-03-15 00:00:00.000 UTC,10,6,3382669.637251
2023-03-15 01:00:00.000 UTC,4,3,181257.315764
2023-03-15 02:00:00.000 UTC,5,5,26946412.828461993
2023-03-15 03:00:00.000 UTC,1,1,100000
2023-03-15 04:00:00.000 UTC,2,1,795000
2023-03-15 05:00:00.000 UTC,4,4,2174234.003441
2023-03-15 06:00:00.000 UTC,2,2,95000
2023-03-15 07:00:00.000 UTC,7,6,215164.543246
2023-03-15 08:00:00.000 UTC,1,1,106099.389
2023-03-15 10:00:00.000 UTC,6,6,10542371.208616002
2023-03-15 11:00:00.000 UTC,10,7,9527857.000030998
2023-03-15 12:00:00.000 UTC,4,4,11581607.006259002
2023-03-15 13:00:00.000 UTC,6,3,98000.00814399999
2023-03-15 14:00:00.000 UTC,10,7,1874062.600464
2023-03-15 15:00:00.000 UTC,11,10,16655152.688095
2023-03-15 16:00:00.000 UTC,7,6,38828948.303634
2023-03-15 17:00:00.000 UTC,20,10,11878467.654248998
2023-03-15 18:00:00.000 UTC,5,4,673422.14166
2023-03-15 19:00:00.000 UTC,5,3,131015.3
2023-03-15 20:00:00.000 UTC,15,5,804920.353758
2023-03-15 22:00:00.000 UTC,4,2,5119500
2023-03-15 23:00:00.000 UTC,3,2,10808763.962117
