owner,n_sells,usd_sold,dumped
0xfb15c3af09fbf8a39a587c4ed137ee5737d7166b,1,11745.212485925776,1
0x442e2a9350b042ef62da4d873145e5a648a38fbf,0,0,0
0x87d3ee8cc75c3916e3b6f56e307aadcd3afeff68,2,1072446.7219080378,1
0x54a48ebd59e0cce6c633f9345a8450f9f11b82c8,0,0,0
0xd3fe68d8b606205eddce2d9a6e5839e82ecb24eb,0,0,0
0x371ee38e4975f7ef352a3fc4fecc67b7d11eab75,0,0,0
0x83e8f033ede440c4ad55ea2f16eff816a13a5d48,0,0,0
0x55b1579ab37c0a18ecb9f47fc89a6f07b99b9b3c,1,40108.182416920485,1
0xdca393937b570007e5770446ab195f16f5ba03bf,0,0,0
0xf91eca2ee93a1904f712c15a018b977de9193078,0,0,0
0x5c8100bf9a03440834367492292df89aad008699,0,0,0
0x89a5e8febfa5568c9e73b0171c9afe4cef827351,1,29580.73908285967,1
0x8438d56505cf36ff81aa331ed87d9e345db73043,0,0,0
0x4939c9f12ea64dc719126d9bb8f06ea4912a81ea,0,0,0
0x2e26bc2b7d4777eb5ab4a5243cc91fad5b550725,0,0,0
0x6660505397818d4d8da882fd3ef8af5d918b2790,0,0,0
0xb82cbdb790cc20bc82f8fc397c81d819ba2e3f3b,0,0,0
0xe89f71e91dafec474ae97b8baa53029b30a5e9ec,0,0,0
0xddb15298c21948f1f1d7395686484d874afc9191,0,0,0
0x4890ae58845cee70b04f7b54dd2d4bbfd8b697d4,0,0,0
0xa82df7db586b92ffc1b1e8cd4fae0b18e597427a,0,0,0
0x734eb3d27f4eec1cc7dc83073f524b96301e853b,0,0,0
0x58743223f9dd5560796493318c2c9e2e1cb8e006,2,475699.8,1
0xe34b45fb1fed9fe867089d0c6ed2952af01ed17d,0,0,0
0xdc892296b87cfafd8fd4f6844a41fbea5fd6627e,0,0,0
0xbbaac64b4e4499aa40db238faa8ac00bac50811b,0,0,0
0x21eeb5837fcfd2e514de64229731803b014a1e61,0,0,0
0x63d417a577b50c96f4f09148d4e4d70950db0522,0,0,0
0x9e0e1be86001c3e2ccbff97c940bd6428ebfb067,0,0,0
0x034b46aa9a5eed69c0c7b19773b60f83c54320dc,0,0,0
0x9acfe4b2c142d60864662453ac84e0e92595d005,0,0,0
0x793457308e1cb6436aeeefa09b19822afb50bcd1,0,0,0
0xb3299e1d9cad68a638fcfd2b26841be843fb8ec4,0,0,0
0xcebbc4feae442a02bf4e7417b895c809a5bffcb0,0,0,0
0x6e1bd418d2101baf7fb7f184ef3b73a6662a8537,0,0,0
0x6cc6146fd401bb4bf7d736d9fd7ca79b98ce6bf3,0,0,0
0x6215daea5b3e266f841fad9b2566c5d00a6d2dcc,0,0,0
0x165340db4fc44d60aa1ea2bd4f0243b9bbb6f2a4,0,0,0
0x7a95549c948ebd89b1c3003d1872fc0b605846ee,0,0,0
0xafc286e4d960507fdf72689414a0e09339ebbe2c,0,0,0
0x29ba174b466edb8c60724022115b538afd0b1412,0,0,0
0x7902e6f4b4ff3e378efbd6edaa4577dd3dd5f067,0,0,0
0x4820e8f84b94428abafeb4ec43983de3bdff8e3b,0,0,0
0x0f60f7c61664b17203cbdeb3d87444d4ce02caed,0,0,0
0xeedad1b82ae7ef9820622f0fce2b3685035fd093,0,0,0
0xfbebc529367266038a1e8be0a0bb7069e792e80d,0,0,0
0x0bf4842b54a3d24cce9a5c99b8262f6d82e3d97b,0,0,0
0x98000f240f63364e5849e32f9d14f1f5733ccb26,0,0,0
