owner,ever_borrowed,n_borrow,n_repay,net_open
0x8ff3fdbb9ec868f18d49008bbe087853752bc69e,1,3,2,1
0x767a16698b4538b32dbc8a8fae86da6f80553b6c,1,2,2,0
0x163b92f91a392afc1f87e8a2b336b6bad87706a7,0,0,0,0
0x391b8fd7492b6f8ecf14007970efe8c70d67ccfc,0,0,0,0
0x93681e7a57dabc0e57633d15dccf880de4831426,1,1,1,0
0x26dbb6f65dac49a9dd09103acd1fd1b94d9cd0cb,1,3,3,0
0xe57a3d98b6218f752718951a69ee351b7cc2569d,0,0,0,0
0x8419faacd3361ecfef0348ec6cce7b67029767df,1,7,4,3
0xada7673b48d656a87cad01bcbafe6b1ee6d621ed,0,0,0,0
0x69eb06a71dfcb68c0f59a7c08e9b6483e0b7dc4f,0,0,0,0
0xdf8a73efab85445866b9165ead084f808ed421ca,1,24,16,8
0xff99e81d1a22da0a2fd10aca4990f19d5812436b,1,7,6,1
0xa931b486f661540c6d709ae6dfc8bcef347ea437,0,0,0,0
0x2627ffc9a0b7f7be8a37eeb597f9e8193e8709a7,1,87,40,47
0xe9ca86b78686a5af0ac39cc3be976c95395b5b06,1,7,4,3
0x03d225884a6f01eb076ebb6a1081e1bfced8cb7d,1,2,2,0
0xce9277434496a1228c9ac5f520777d7eec28f70a,1,1,1,0
0x0aaef7bbc21c627f14cad904e283e199ca2b72cc,1,22,27,-5
0x9c3ba7bc0ad522520d2b23a9ff16b1f8ed88767c,1,6,4,2
0xd3b27c9e0bdfa687909b08ea591bd225c3757513,0,0,0,0
0xc8390451711a3553e0a0cc398fa037cffb76cdaa,0,0,0,0
0xc7c474d797d5edd63cef1b98e6155cf23fd36317,0,0,0,0
0x44af8bfd575ba95b91211242b74222dd5802e6fd,1,5,6,-1
0x8fb88d42f8cfb29c8bc1c6f608e81c1dc241ca30,0,0,0,0
0xf435e72cd062c384e13ba181e6a0ebd6779e715a,1,1,0,1
0x6c53754ae6c455bd6837ee7e7fd5da233c6f623f,1,1,2,-1
0x2ba1473cb3973c288312a92fb8930bb0af2cae02,1,1,1,0
0xff3857921decd6c871c1fce6c414a1a130865638,1,3,2,1
0x272492e7f7f4cfa8d2f7f6e4e49e9c6bce76c9cd,0,0,0,0
0x901bfadb557581979dfb282b2d2e245fb020f1cd,1,12,4,8
0x02c09575e587e2a53d302beae55d4e9c32806a92,1,9,3,6
0xa4a2ffe1538f429e8d5a21adab35085f680b1a4a,0,0,0,0
0x6ee988be14f89c124dccda79eb79ea846a5df8df,0,0,0,0
0x0f6a3521142a567675926efc06a542e561945193,1,1,1,0
0xd38df9d9e0e931cc98c34b578ca4583a16d17b85,0,0,0,0
0x36803eef72a2b2c7d815b4e74b75fb5cc850e349,1,2,2,0
0xed3c678f04d92c78c101154a271a50ad9089f443,1,1,0,1
0x8bc8b4e4921101bcc56ec084b906069b73de7276,0,0,0,0
0x685c99e8780e5a7f158617cc2e9acc0e45a66120,1,1,1,0
0xc2f89ac5b83e4c23751825dc65ac10dce11c3ebb,1,1,2,-1
0x5b7f7ae5a9d803b6a840529a904974a115843b6c,0,0,0,0
0x9231e95a53558bf7e32d908a8fcccbb99669929d,0,0,0,0
0x5b1f202dd4eb16f7ed9c65203aab400afff6830b,1,1,1,0
0xbe9aeb73c5ebe6601ead223901a65b4184c94a0d,0,0,0,0
0x9e516b5cc254e04470387efacc889326e3517dfe,0,0,0,0
0x6ccf1851baa0b54371061e88780f3da30430b55b,0,0,0,0
0x1c4fdf6a08dd4590c239506a6b8d65fe933f376e,0,0,0,0
0xd809cd2e2e2655599c2b1dbcdca50401579854a0,0,0,0,0
0x80a20347b912dc538639112754320c016812a554,1,1,0,1
0xd4e5c4cb195154935b8d8a380cb99d5a40e2681a,1,1,0,1
0x06ac9105c8c9a4fbeed943ac8140ac9042b1dfc5,0,0,0,0
0x2f2040f7c56f6bc3d3d0b69af6aa4bba96002fa0,0,0,0,0
0x12c8e2e2c8afce15725268ed1d26da392aa18fcf,0,0,0,0
0x9919ec3ef3782382fe1487c4a36b72f02e03189b,1,1,0,1
0x6459b050dfd771b5c639e3e395e9fdcf89486e26,0,0,0,0
0xfd98e865527f92df6255079689a12b81c2babf93,1,15,13,2
0x777777c9898d384f785ee44acfe945efdff5f3e0,1,795,1535,-740
0xf28e1b06e00e8774c612e31ab3ac35d5a720085f,1,5,5,0
0x6801b5ae5781c93be0f7d223db72b4e6e56c8bf6,1,8,8,0
0xd7c01c590614f5a760092d09820fa05ebc7286d9,1,44,54,-10
0x5029a6a39b8346be1d51351e5967b9979b2b8d72,1,2,1,1
0xd755578cb8b9e369803fe08b7d875287914a3d3c,1,293,239,54
0x25ee6c3d31cd154d0ffdda114874577e1ec54744,1,3,2,1
0xe903d2f4f433e81b7c914be50fd98b8f43fcd289,1,3,1,2
0x0367e3132549bc7f60ce2c63a8577f7a4b1af08b,0,0,0,0
0xe86ddfff667054577de1daead0f293ee51e5307b,1,76,32,44
0x2a27701cc0b411805617ad9c130ae9d488073136,0,0,0,0
0x5498f662c60668f29f1f08fb3c0d175bce8c2f91,1,3,0,3
0xc8d65484d396a1020c68beb59760b56234dc9b8a,1,8,2,6
0xb4ffecb1aa10758988b83f7eee5cb3765c133359,1,1,2,-1
0x5a322db06bf68f3e1c27968f38e907b95a4415ce,0,0,0,0
0xd27a6ab075dddd439ad5a857750df73a4e5bb803,1,1,2,-1
0xccd4c202ab2cd6de8fa3158553f1c679559ca65e,1,3,3,0
0x3fbf92b6597126301336f19deca9c120720ed01a,0,0,0,0
0x70f5d1620c738f25eececc3473272d18e2a29fa9,0,0,0,0
0xe9ece842f99962a1416cd6142240e790e5668360,0,0,0,0
0xc958b32ba6bc0dcaab9a56e3195f1c4e10922d43,1,1,1,0
0xe6d221b808d26d609161fa9162af6ccc8de268ec,0,0,0,0
0x548666548583e58028fb65e1c34f3bcd9fbc5c6b,1,1,0,1
0x469d5fa4f67055d7739ecde564fcd170164b80f0,0,0,0,0
0x988aa8a159408f66020b8c58a980daba3991dfcb,0,0,0,0
0x29594822621a2349c7046eacb7ffafe95f7318e4,1,1,1,0
0x4678cb6580b20bd4340fb5269e91af3e921180d8,0,0,0,0
0xcd790d0813bef3add5ddc1ae5589d3a9b526cadf,1,1,0,1
0x7f3c703cbcd18acf9b2d85bc4b59a770d2307ae6,0,0,0,0
0x2dea1237679c5df256dbfdda0fd82b274cd59bdd,0,0,0,0
0x1e1c5535ce8fb6c6dd7a2713be9de434b9bfc2de,0,0,0,0
0x819c3fc356bb319035f9d2886fac9e57df0343f5,0,0,0,0
0xf8b9616edd8f97aef28c62ae5ee638b433c7c8c0,0,0,0,0
0x5a818dd2d92e0990f746f1389cfcb8ac9862dc4d,0,0,0,0
0xd5329311ad1024e7eb2e7ed722bc22da23cda8ef,1,1,1,0
0x493d625fd7a6d1e99a8fb56012e1dcea347a9c70,0,0,0,0
