ev_in,ev_out,market,owner,pl_out
0.0,4315522.707791,compound_v3,0xba5c4adc5331729e107fefd422753a294a5549c4,0.0
0.0,0.0,compound_v3,0x067306591dcdc297fd757596c408f17188e2dde0,0.0
0.0,0.0,compound_v3,0xaed6b31aa3a14b97c8216e3955539fb43c8763b8,0.0
0.0,7780.767702,compound_v3,0xc6f324f6cfefafbf96c8072463521940b85dcff4,0.0
0.0,0.0,compound_v3,0xc99b170515f650234971463378b35d763c2e881e,0.0
0.0,0.0,compound_v3,0x61fd0d043d519f5a2bd05785000f30db96809429,0.0
0.0,421.904999,compound_v3,0xfd53b1dfcec47b755e96b6dfd99ff3d490e2ed3b,0.0
0.0,8537.364999,compound_v3,0x3175f8cb88149021e66ac301626f2447f881a6ed,0.0
0.0,2445.238251,compound_v3,0x37ac1797d4e41f92cc80a43e57ad19478ac544c4,0.0
3650000.0,3608606.57573,compound_v3,0x58c30b3bd434b5acdbe51f6bc13032659064fe4b,0.0
0.0,1004.313486,compound_v3,0x8df391a660d68b84fb3920ce5456123d85219f61,0.0
536753.379046,785066.155573,compound_v3,0xe19f02b6446e7f855c03333772208bea613ee552,0.0
0.0,0.0,compound_v3,0xaa86b857647d7e67aa0fb8ac527b5d9ad395a9ac,0.0
0.0,0.0,compound_v3,0x3dc27165f9329afe2d0eb89dd8ed70fcb7473472,0.0
0.0,0.0,compound_v3,0xaae79649901dc0e4a965646f3fa73d8e1b83d4fc,0.0
0.0,0.0,compound_v3,0x4c3bcff150f05246234372f1f407e1386801a7d5,0.0
0.0,0.0,compound_v3,0x829899183ffbe9d71895699ad847f99df12831c1,0.0
0.0,0.0,compound_v3,0x515491350701b46a54c666d18822fd7e3c44ebd8,0.0
0.0,500587.914741,compound_v3,0x0cdf071dec3f9c652e25c847970a39af3e3c2e6f,0.0
0.0,0.0,compound_v3,0xbd0eee2f4e76056e59256a9a9f4d1e4f0fc3fd2a,0.0
0.0,1009.28562,compound_v3,0x383b06b2e0a53e9603e1672ea383e2c7c5744391,0.0
0.0,0.0,compound_v3,0x11b50686d3983c14c0d0972a5e46e38e0d9b2e14,8704520.925905
0.0,0.0,compound_v3,0x59ad4311466bc783fa1ae79513d6fc647e98e77a,0.0
0.0,0.0,compound_v3,0x446b3829013f94ea309318e294d8ed7825950e09,0.0
0.0,1423809.747151,compound_v3,0xc4dd8e820ff8794301c67a74f4cd024676356532,0.0
0.0,0.0,compound_v3,0xf5f58593d022494a1e724babb87906535ffa6e44,0.0
0.0,10000.0,compound_v3,0x4af7d85a133eceb3eb714d4f010ac2e2868365d4,0.0
0.0,0.0,compound_v3,0x2d4e1aebf7ce679f8662f8f4c291c2955c3e5264,0.0
0.0,0.0,compound_v3,0x308fd47d492cf32d0f504c2a3e82bc25583b455b,0.0
0.0,112.801144,compound_v3,0x3444cfdafa8d986760cd07d5f8dbf9d2d113ff67,0.0
0.0,0.0,compound_v3,0x7224e2887d20c4286f928d43f2c2aeb94bbcd500,0.0
0.0,0.0,compound_v3,0x94c7c5f905fc888ddc48c51a90b68ddec44f8d8c,0.0
0.0,0.0,compound_v3,0x3f8fa6b9d3aa760ade4ced2282af9fead8615355,0.0
0.0,0.0,compound_v3,0x6bd60f089b6e8ba75c409a54cdea34aa511277f6,0.0
0.0,0.0,compound_v3,0xa4c7d1f471fb6818bb41886b8767310af0cc72f0,0.0
0.0,0.0,compound_v3,0x3f3429d28438cc14133966820b8a9ea61cf1d4f0,0.0
0.0,0.0,compound_v3,0xc1fcec8e69b38bf8d5ba5bfd807c02ea80fdd2e3,0.0
0.0,150221.19602,compound_v3,0x44157fc26c845a0bdd1f233ccb1f1f46eb99bcbd,0.0
100000.0,223995.798554,compound_v3,0xc4dac69b2b0984690450b933f5053fdda09965b5,0.0
0.0,0.0,compound_v3,0xbc8ec3182e5243681a848d2a0fbf10df8ebfe230,0.0
0.0,0.0,compound_v3,0x3007cee9a49793ae53ff8158e362cc0a2073365a,0.0
0.0,700.0,compound_v3,0xc50a66a990bf4ce0ff8b5c4e3b9c35144cfde8fc,0.0
0.0,1697.624285,compound_v3,0x145d8c9a4e2f9812812954a2f09c6698aadeb571,0.0
0.0,0.0,compound_v3,0x70a8bd5d01f7a8b99aed8312bd4a8302e6e2fc89,0.0
0.0,0.0,compound_v3,0xad5174a9e0888030be4e8b4a7be8abf9fa842cb5,0.0
0.0,0.0,compound_v3,0xebb2058169f12bbbb27891938a0b891e47b312b4,0.0
0.0,14046.579352,compound_v3,0xdd1a45cf294268a286522a93a3b3e26952dbb195,0.0
0.0,0.0,compound_v3,0xe6a632ed648f1f86c7cd786c2e9d2d4113b6bd7a,0.0
0.0,0.0,compound_v3,0x1198e9f01a9ef948de6685e074cb61e8c7808784,0.0
0.0,0.0,compound_v3,0x2a3b551ada28441c3b30a71bd9ef35e29b63e356,0.0
0.0,0.0,compound_v3,0x30485556753a449321d950cf8a4e7b6c1d3ce0aa,0.0
0.0,500672.8547,compound_v3,0x1d3add22363370b56a73888a84e6f8d64c55b26a,0.0
0.0,0.0,compound_v3,0xa7a62d5fc2fb13aa2e4f66344686654dbc94fb93,0.0
0.0,0.0,compound_v3,0x479bb9de1055f7fa478e79b8034d6afae44ca9f4,0.0
0.0,34165.09609,compound_v3,0x03f1c2cdc2646b4ced7bcf2c4a9824741eb66958,0.0
0.0,0.0,compound_v3,0x63395d2788304f74a8ba80d21ea1697bb4d51671,0.0
0.0,0.0,compound_v3,0xd3d555bb655acba9452bfc6d7cea8cc7b3628c55,0.0
0.0,0.0,compound_v3,0xa3f1005a922b8f4a8a2a8c3fb881c3c5bbabcdc0,0.0
0.0,0.0,compound_v3,0x1a76ef3fc04af5012e608f0570e8666428cf6469,0.0
0.0,9182.250675,compound_v3,0x51187222b8ae99c08f19a1298e5c2ffead0f6cf7,0.0
0.0,0.0,compound_v3,0x8f157b9a0cc30c4d5d677984ca778b3ac08896c4,0.0
0.0,0.0,compound_v3,0xf13d87279e272639d32d1b4edee9a71aad15868f,0.0
0.0,0.0,compound_v3,0x73d8bdee2850f7dc30ade2d09f7156a13737ee1a,0.0
0.0,0.0,compound_v3,0xdb2cfa0793a6062440bd7d6c1dfb45cd6da2f449,0.0
0.0,0.0,compound_v3,0xdba26a609737440456a54c2eeb6feffc4399d986,0.0
0.0,0.0,compound_v3,0x4a44bdc4b6b8b0ffbac1fa3d8814da59402d9978,0.0
